Term or Phrase,Date,Time,User,User Affiliation,Media Platform,Link to Post,Post Text,Screenshot,Image,Linked Media,Likes,Comments,Shares,Antisemitic (Y/N),Hateful,Violent,Offensive,Negative,Homophobic,Transphobic,Racist,Misogynistic,Xenophobic,Trope Classification,Primary Coder,Coder 2,Coder 3,Notes
Cabal,12/06/22,,Anonymous,,Truth Social,https://truthsocial.com/@GlyMor/109466632971344570,"Exactly!!!! Bring in the mighty Marines, round them all up and purge the hell out of this corrupt cabal!!!!",Cabal_01,,,1,0,0,N,0.363,0.962,0.526,0.213,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,1/19/2023,,Anonymous,,Truth Social,https://truthsocial.com/@17QRanches/109713510517135259,WINNING 💥WINNING 💥WINNING 💥CLEANING UP RATS 🐀 @17QRanches #winning #Q #Truth #TRUTHS #TruthSocial #cabal #deepstate #RATS #Rhinos #EradicateALLevil #military #ThankYou #ThankYouForYourService #trusttheplan,Cabal_02,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/109/713/510/499/884/658/original/398032569e2a86c6.jpg,,9,1,3,N,0.221,0.951,0.517,0.221,0,0,0,0,0,,coder 1,coder 2,coder 3 ,Target is RHINOS
Cabal,12/27/2022,,Anonymous,,Truth Social,https://truthsocial.com/@1776WeThePeople1776/109582389156064182,Mr President this Cabal must all be destroyed!!Period!🇺🇸💪🏻,Cabal_03,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/109/582/389/132/612/016/original/8f3f0bac2730a1b4.jpg,,2,2,1,N,0.292,0.939,0.494,0.984,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,12/06/22,,Anonymous,,Truth Social,https://truthsocial.com/@blakecrosby/109466136652727416,ITS VAX GENOCIDE A COLOR REVOLUTION AND THE CABAL IS LAUGHING ALL THE WAY TO THE BANK ALL RICH DEMONS ARE COMPLICT AND MUST BE ELIMINATED,Cabal_04,,,2,0,0,Y,0.302,0.933,0.482,0.921,0,0,0,0,0,"1,8",coder 1,coder 2,coder 3 ,Jews as servants of Satan
Cabal,12/14/2022,,Anonymous,,Truth Social,https://truthsocial.com/@QuirkyOtter/109513112049251100,"Yes, Because CHILD PORNOGRAPHY Global Cabal! Right in our face! In San Fransisco! California! California Government needs GUTTING. THIS REASON. Full Stop. NOW.",Cabal_05,,,8,1,0,N,0.215,0.924,0.454,0.956,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,12/04/22,,Anonymous,,Truth Social,https://truthsocial.com/@the17thletter/109451791848531539,Death to the banking cabal!,Cabal_06,,,94,20,9,Y,0.282,0.92,0.528,0.982,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,User is connected to QAnon
Cabal,1/14/2023,,Anonymous,,Truth Social,https://truthsocial.com/@SCBeach1/109685675539199584,🙏❤️😔These poor souls were murdered by the cabal WEF evil mad scientists elites . They should all be in front of a Patriot firing squad 🥵,Cabal_07,,,4,0,1,Y,0.353,0.92,0.565,0.967,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,WEF = World Economic Forum
Cabal,1/26/2023,,Anonymous,,Truth Social,https://truthsocial.com/@Delfina_R/109752011730895234,Death to the cabal!,Cabal_08,,,5,4,0,Y,0.297,0.92,0.525,0.984,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,User names death to certain Jews
Cabal,01/05/23,,Anonymous,,Truth Social,https://truthsocial.com/@greggphillips/109632704724029380,"I believe the entire swamp and the RNC/NRSC/NRSC cabal would be destroyed. I for one would declare war (that #5GW for all the glowies) on them. I will target every last one that let that happen. That said, money will be the deciding factor. Always is with these crooks.",Cabal_09,,,183,8,24,N,0.38,0.916,0.502,0.951,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Cabal,01/04/23,,Anonymous,,Truth Social,https://truthsocial.com/@lawandorder/109630951966358051,"Human trafficking will be eradicated. We’ll become energy independent. Toxins poisoning our earth’s water, soil and air will be removed bringing health back. The administrative state of our govt will be removed as will unconstitutional laws. Freedom and privacy will be returned. The cabal of elites trying to bring in a one world government will be eliminated. The world economy will flourish. Basically world peace and prosperity.",Cabal_10,,,0,1,0,Y,0.296,0.915,0.478,0.265,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,
Cabal,1/23/2023,,Anonymous,,Telegram,https://t.me/youllfindout/99382,"OHHHH, HELL NO!!! EUTHANIZE THE GLOBALIST CABAL INSTEAD!!! 💥💥💥💥💥💥",Cabal_11,,,18,0,NA,Y,0.222,0.966,0.487,0.971,0,0,0,0,0,1,coder 1,coder 2,coder 3 ,"""Globalist Cabal"""
