Term or Phrase,Regular Definition,Antisemitic Definition,Related Terms,Direct or Indirect,Antisemitic Trope,Emerging Term (Y/N),Emerging Trope (Y/N),Extremism Rank,Notes,Means of Discovery,Discovery Date/Time (Emerging Only),Sources,Source Link,Social Media Site
Blood libel ,perpetuated accusation that Jews have murdered non-Jews (such as Christian children) in order to use their blood in rituals ,"The blood libel charge—also known as the ritual murder 
charge—has falsely accused Jews of killing and using the 
blood of Christians for ritual purposes since the Middle Ages. 
Blood libels were commonly spread before the Jewish holiday 
of Passover, outrageously asserting that Jews “used the blood 
of Christian children” as an ingredient in ritual breads—an 
association linked to the ancient accusation that Jews are to 
blame for the death of Jesus (see deicide). 
In more contemporary times, blood libel charges evolved 
into a widespread blame of Jews for unconnected murders 
and other horrific crimes—including the modern rumors 
of organ harvesting in Israel (see Figure B1) and Jews (or 
Zionists) eating Palestinian children and drinking their blood 
(see Figure B2).
As one of the longest-standing forms of antisemitism, blood 
libels have led to horrific violence, destruction, persecution, and 
massacres of Jewish people and communities—before, during, 
and beyond the Nazi propaganda that used it to demonize 
Jews. Despite its utter falsehood and its disavowal by Jews, 
the Roman Catholic Church, and other nonreligious authorities, 
blood libel remains an influential myth in the 21st century.","Blood thirsty, ",Indirect,,No,,,"A Canadian metal group is called ""Blood Libel"" and has antisemitism and holocaust denial in their songs. Its fully available on Google. You will find here information about them: https://www.metal-archives.com/bands/Blood_Libel/3540450481 ",,,American Jewish Committee,Page 4: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Cabal,"a small, powerful group that seeks to establish control","Jews have long been accused of being part of a secret group 
that controls the economic and political world order. The 
term cabal originates from the word kabbalah, the Jewish 
mystical interpretation of the Hebrew Bible. Often denoted as 
“Jewish cabal” on social media, it is a dog whistle for Jewish 
control (see control).
Several antisemitic publications and conspiracy theories 
capitalize on this imagery of a conniving cohort, such as the 
Protocols of the Elders of Zion or the New World Order theory 
which is based on the idea that Jews have formed a power 
structure in which they control the media, economy, and politics 
(see Protocols of the Elders of Zion, New World Order).",,Indirect,,Undetermined,,,,,,American Jewish Committee,Page 4: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Clannish,"of or relating to a clan; tending to associate only with a 
select group of similar background or status","Referring to Jews as clannish is an antisemitic stereotype 
claiming that Jews only associate and do business with “their 
own kind,” using their power to benefit other Jews and keep non￾Jews from having a fair chance. This accusation has been used to 
label Jews as economically untrustworthy, aggressive, apathetic, 
exclusive, and unaccepting of non-Jews and non-Jewish cultures. 
Similarly, the conspiracy that global Jewish financial firms are 
connected by family ties and work together in an unethical 
manner is known as the “clannish” theory. This false claim 
perpetuates the idea that Jews are “elitists” who work against 
the interest of all non-Jews to gain wealth (see greed). 
The nearly 200-year-old Rothschild conspiracy theory is an 
example of how this “clannish” theme has fueled antisemitism 
throughout history to the modern day. At its core, this theory 
states that a secret clan of Jews under the leadership of the 
Rothschild banking family has been manipulating currency and 
global events for personal enrichment and world domination 
(see Rothschild).",,Indirect,,No,,,,,,American Jewish Committee,Page 5: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Conspiracy theory,"a belief that some covert but influential organization is 
responsible for a circumstance or event","From medieval times until the present day, conspiracy 
theories have spread antisemitic beliefs that blame Jews for 
the world’s worst tragedies. Jews were accused of poisoning 
wells in 14th century Europe causing the Black Death and 
in 21st century America, they were charged with being the 
""hidden hand"" responsible for the 9/11 terrorist attacks. 
Antisemitism, like all conspiracy theories, is irrational in nature—
unable to be explained by logic or sound reasoning. In his 
1986 book Antisemitism in the Contemporary World, Michael 
Curtis describes how no other group aside from Jews has been 
blamed simultaneously for opposing phenomena: being an 
insular yet cosmopolitan group; for being capitalists and behind 
Communist revolutions; for being subhuman but also a chosen 
people. To conspiracists, conspiracy theories are “self-sealing,” 
meaning any attempt to dispel the theory with logic will serve 
as evidence to the conspiracist of the theory’s existence. Other conspiracies allege Jews are behind their own hate 
crimes, such as the “false flag” theories, and even go as far 
as to say the Holocaust was a hoax created by Jews to gain 
sympathy (see Holocaust denial). ",,Direct,,Yes,,,,,,American Jewish Committee,Page 5 and 6: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Control,power or authority to guide or manage,"False reports that claim Jews control the media, banks, 
and governments are part of a longstanding conspiracy of 
secret Jewish power. This antisemitic trope is rooted in the 
discredited publication, The Protocols of the Elders of Zion, 
which was published in Russian tsarist times and accused 
Jews of trying to control the world (see Protocols of the 
Elders of Zion). 
These myths of control portray Jews as secret puppet 
masters ruling over others and manipulating the world’s 
economies and governments (see Figure C4). For centuries, 
Jews were blamed for leading “blind” world leaders into wars 
and into debt to enrich themselves and further their own 
hidden agenda (see Figure C5). 
Antisemitic propaganda continues to spread the idea that rich 
or influential Jews are behind the scenes furthering their plans 
of world domination",,Indirect,,Undetermined,,,,,,American Jewish Committee,Page 6: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Cosmopolitan elite,"a phrase combining “cosmopolitan,” or representing many 
cultures, with “elite,” referring to the upper class of society","“Cosmopolitan” and “elite” are terms that have separately 
incited antisemites across the political spectrum. Based on 
stereotypes of Jewish wealth and insularity, Jews have been 
accused of being part of an elite class for centuries. In the 
Soviet Union under Joseph Stalin, for instance, Jews were 
charged with being “rootless cosmopolitans” and fell victim to 
Stalin’s anti-cosmopolitan campaign where they were arrested 
and tortured. Today, “cosmopolitan elite” is a code word used 
by the far-right to accuse Jews and liberals of controlling 
America and/or being disloyal and unpatriotic by favoring 
internationalism over isolationism.",,Indirect,,Undetermined,,,,,,American Jewish Committee,Page 6: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Cowardice,lack of bravery ,"Evolving from the erroneous accusation that Jews lacked 
patriotism (see dual loyalty), in the aftermath of World 
War I, Jews were portrayed as cowardly and weak people 
who actively evaded military service. According to this 
trope, Jews’ inherent cowardice and disloyalty made them 
responsible for national defeats. The apparent Jewish 
meekness in the face of the Holocaust (ignoring the many 
acts of bravery against overwhelming odds) even allowed 
antisemites to claim that Jews contributed to their own 
genocide (see Holocaust denial).",,Indirect,,No,,,,,,American Jewish Committee,Page 7: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Creatures,"animals, as distinct from human beings; fictional or 
imaginary beings","A common form of coded antisemitism includes illustrations 
and images that depict Jews as vermin, tentacled creatures, 
reptilian men, and other “subhuman” monsters. 
Antisemitic rhetoric that dehumanizes Jews laid the foundation 
for the Holocaust, used as rationale by the Nazis to treat them 
as creatures that needed to be exterminated. It appeared in 
Nazi literature and other propaganda to spread antisemitic 
tropes—including Jews as the overlords of global affairs, Jews 
controlling minds, Jews’ quest for world domination, and Jews 
as superior or elite masterminds (see New World Order).
More recently, antisemites such as Nation of Islam leader Louis 
Farrakhan have referred to Jews as “termites” likening them to 
unwanted pests who multiply rapidly, take over, and destroy 
everything they touch. ",,Indirect,,No,,,,,,American Jewish Committee,Page 7: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Cultural Marxism,"Cultural Marxism is used by most people refers to a kind of behavior that looks for power imbalances in everyday culture (like asking a person where they are from, or complementing a black persons hair) and problematizing those interactions, causing people to resent others for innocuous little social misdemeanors. Cultural Marxism assumes the worst of the actions of a supposedly powerful group by saying that their little faux-pas are really egregious examples of latent prejudice, and excuses the hatred and rudeness of the supposedly weaker group by saying that their behavior is an expression of resisting power or ""asserting their personhood"".","""Cultural Marxism,"" described as a conspiratorial attempt to wreck American culture and morality, is the newest bugaboo on the radical right."" (SPLC) ""A far-right antisemitic conspiracy theory which claims Western Marxism as the basis of continuing academic and intellectual efforts to subvert Western culture. The conspiracists claim that an elite of Marxist theorists and Frankfurt School intellectuals are subverting Western society with a culture war that undermines the Christian values of traditionalist conservatism and promotes the cultural liberal values of the 1960s counterculture and multiculturalism, progressive politics and political correctness, misrepresented as identity politics created bycritical theory"" (Urban dictionary)",,Indirect,,Yes,,,,Washington Post,,Southern Poverty Law Center / urban dictionary,https://www.splcenter.org/fighting-hate/intelligence-report/2003/cultural-marxism-catching https://www.zotero.org/groups/4804227/anti-semitism/collections/P7RJV2YW/items/5Q65XW3V/attachment/G88F8Z6A/reader ,
Deadly exchange,"suggesting Israel is responsible for American police brutality 
due to training programs between U.S. and Israeli police forces","The deadly exchange trope directly compares U.S. police 
actions against Black Americans with the Israeli Defense 
Forces’ (IDF) treatment of Palestinians. Believers in the 
“deadly exchange” allege “worst practices” are shared 
[between U.S. and Israeli armed forces] to promote and 
extend discriminatory and repressive policing practices that 
already exist in both countries, including racial profiling, 
massive spying and surveillance, deportation and detention, 
and attacks on human rights defenders.” 
Users of this trope argue Israeli and U.S. law enforcement 
exchange security practices and ideologies to purposely 
target people of color. This false equivalence appeared in 
demonstrations in the summer of 2020 when protesters 
chanted “Israel, we know you, you murder children, too"" (see 
blood libel). This is categorically false. Accusing Israel or 
Zionists (see Zionists) of complicity in the murder of Black 
people is malicious, perpetuates antisemitism, and blames 
Jews for societal ills (see scapegoat). ",,Indirect,,undetermined,,,,,,American Jewish Committee,Page 8: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
