,Term,Predicted,Actual,
0,united state,1,0,
1,blood type,0,1,
2,nostra aetate,1,1,
3,vatican ii,0,0,
4,human right,0,0,
5,jesus christ,0,0,
6,deep state,1,1,
7,white people,1,1,
8,fascist white,0,0,
9,late 20th,0,0,
10,space time information,0,0,
11,white power,0,0,
12,middle east,1,0,
13,critical race theory,1,1,
14,civil right,0,0,
15,world war,1,0,
16,old school,0,0,
17,federal reserve,1,1,
18,white men,1,1,
19,klaus schwab,1,1,
20,khazarian satanist,0,1,
21,mel gibson,0,0,
22,central bank,1,1,
23,moon landing,0,0,
24,social justice,0,0,
25,un special rapporteur,0,0,
26,khazarian mafia,0,1,
27,white house,1,0,
28,national socialist,1,1,https://www.cambridge.org/core/books/abs/antisemitism-and-its-metaphysical-origins/national-socialist-antisemitism/ED1FC376F0B6BD81AED86898E0FCD054
29,full disclosure,0,0,
30,white american,1,0,
31,public service,0,0,
32,german people,1,0,
33,20th century,0,0,
34,white race,1,1,
35,roy cohn,0,0,
36,ethnic foids,0,0,
37,world economic forum,1,1,
38,manhattan new york,0,0,
39,new york city,1,0,
40,frankfurt school,1,1,
41,interest group,1,1,
42,political correctness,1,1,
43,african identity black,0,0,
44,catholic church,0,0,
45,western civilization,1,0,
46,american lunar,0,0,
47,grand marshal,0,0,
48,coup attempt,0,0,
49,financial system,1,1,
50,twin cancer,0,0,
51,donald trump,0,0,
52,national security,0,0,
53,air traffic control,0,0,
54,special military operation,0,0,
55,fema camp,1,1,
56,queen story time,0,0,
57,unborn child,0,0,
58,color revolution,1,1,
59,therefore america,0,0,
60,mental illness,0,0,
61,orthodox christian,1,1,
62,open society,1,1,
63,plain sight,1,0,
64,german christian,0,0,
65,holy war,0,1,
66,end game,1,0,
67,white genocide,1,1,
68,income tax,0,0,
69,mayer amschel,0,0,
70,balfour declaration,0,0,
71,banking system,1,1,
72,holy quran,0,0,
73,family due,0,0,
74,reason hitler,1,0,
75,bolshevik revolution,1,1,
76,white christian,1,1,
77,many people,0,0,
78,russian special,0,0,
79,conspiracy theory,0,1,
80,nancy pelosi,1,0,
81,former president,0,0,
82,illegal immigrant,1,1,
83,president trump,0,0,
84,wernher von,0,0,
85,democrat party,1,0,
86,sociopathic desert,0,0,
87,israeli government,0,0,
88,von braun,0,0,
89,sub corporation,0,0,
90,socialist party,0,0,
91,joe biden,0,0,
92,full doku,0,0,
93,big part,1,0,
